Time	,	Pressure (bar)	,
15:25:13.3058	,		0.375098
15:25:13.8060	,		0.375098
15:25:14.3061	,		0.375098
15:25:14.8068	,		0.375098
15:25:15.3061	,		0.375098
15:25:15.8066	,		0.375098
15:25:16.3064	,		0.375098
15:25:16.8059	,		0.375098
15:25:17.3066	,		0.375098
15:25:17.8063	,		0.375098
15:25:18.3052	,		0.375098
15:25:18.8067	,		0.375098
15:25:19.3066	,		0.375098
15:25:19.8067	,		0.375098
15:25:20.3063	,		0.375098
15:25:20.8064	,		0.375098
15:25:21.3061	,		0.375098
15:25:21.8069	,		0.375098
15:25:22.3054	,		0.375098
15:25:22.8070	,		0.375098
15:25:23.3164	,		0.375098
15:25:23.8063	,		0.374589
15:25:24.3059	,		0.375098
15:25:24.8072	,		0.375098
15:25:25.3063	,		0.375607
15:25:25.8060	,		0.375098
15:25:26.3059	,		0.375098
15:25:26.8073	,		0.375098
15:25:27.3055	,		0.375098
15:25:27.8074	,		0.375098
15:25:28.3065	,		0.375098
15:25:28.8064	,		0.375098
15:25:29.3058	,		0.375098
15:25:29.8066	,		0.375098
15:25:30.3061	,		0.375098
15:25:30.8072	,		0.375098
15:25:31.3061	,		0.375098
15:25:31.8066	,		0.375098
15:25:32.3067	,		0.375098
15:25:32.8067	,		0.375098
15:25:33.3071	,		0.375098
15:25:33.8072	,		0.375098
15:25:34.3065	,		0.375098
15:25:34.8067	,		0.375098
15:25:35.3068	,		0.375098
15:25:35.8129	,		0.375098
15:25:36.3292	,		0.374589
15:25:36.8075	,		0.375098
15:25:37.3074	,		0.375098
15:25:37.8069	,		0.375098
15:25:38.3072	,		0.375098
15:25:38.8057	,		0.375098
15:25:39.3071	,		0.375098
15:25:39.8074	,		0.375098
15:25:40.3069	,		0.375098
15:25:40.8060	,		0.375098
15:25:41.3067	,		0.375098
15:25:41.8071	,		0.375098
15:25:42.3059	,		0.375098
15:25:42.8189	,		0.375098
15:25:43.3071	,		0.375098
15:25:43.8104	,		0.375098
